login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
praveendath92;Darmstadt, Germany;67;4329;61;105;4
linev;Darmstadt;4;1535;17;5;3
oliverguenther;Darmstadt, Germany;8;1493;27;6;4
msteiger;Darmstadt, Germany;20;1392;77;30;0
binwiederhier;Reading/UK & Darmstadt/DE;23;1343;15;19;0
skohlbr;Darmstadt, Germany;30;1215;7;73;0
kaikreuzer;Darmstadt, Germany;54;1097;5;19;11
mweinelt;Darmstadt, Germany;28;1060;10;51;3
lipp;Darmstadt;41;845;575;8;0
daxenberger;Darmstadt, Germany;8;837;0;6;0
mattkretz;Darmstadt, Germany;2;624;2;5;0
alacambra;Darmstadt, Germany;5;603;1;11;2
karimhamdanali;Darmstadt, Germany;1;530;0;6;0
terpstra;Darmstadt, Germany;6;518;10;13;0
stempler;Darmstadt, Germany;9;513;25;9;3
zemirco;Darmstadt, Germany;144;488;2090;16;0
RazerM;Darmstadt, Germany;5;469;19;7;0
andypelzer;Darmstadt, Germany;2;410;19;14;0
dharma-guardian;Darmstadt;10;387;5;7;0
SteffenPegenau;Darmstadt, Germany;1;384;6;7;2
dasniko;Darmstadt, DE;8;375;47;6;0
steinachim;Darmstadt, Germany;5;372;0;15;0
arosenhagen;Darmstadt;22;349;2;6;2
magicmonty;Darmstadt, Germany;20;348;41;10;0
ysangkok;Darmstadt, Germany;15;327;72;7;0
okin;Darmstadt, Germany;17;327;15;3;0
jmorenor;Darmstadt, Germany;4;314;0;8;0
timonreinhard;Darmstadt, Germany;5;296;16;11;0
RolandKluge;Darmstadt;0;288;0;6;0
ascheman;Darmstadt, Germany;6;277;8;9;0
mhlz;Darmstadt;6;249;0;5;0
svenkeidel;Germany, Darmstadt;8;231;15;8;0
chaubold;Darmstadt, Germany;2;190;2;8;0
fhirschmann;Darmstadt, Germany;11;185;65;8;0
ncreuschling;Darmstadt;9;175;1;4;0
jlauinger;Darmstadt;10;165;5;4;0
MohammadAlTurany;Darmstadt;8;159;0;5;0
Delphinator;Darmstadt, Germany;2;158;6;3;0
NicolasWinckler;Darmstadt;4;155;0;5;0
cstockloew;Darmstadt, Germany;4;148;0;4;0
HB-GSI;Darmstadt, Germany;4;145;2;5;0
sippsack;Darmstadt/Mannheim;2;142;1;3;2
bndr;Darmstadt, Deutschland;33;139;1793;5;0
mlimper;Darmstadt, Germany;6;136;1;6;0
spilot;Darmstadt;1;132;0;4;0
Yonjuni;Darmstadt;2;128;4;8;0
RobertBiehl;Darmstadt, Germany;4;118;2;5;0
JochenHiller;Darmstadt;4;117;3;7;2
coolcut;Darmstadt;5;115;0;9;0
apaffenholz;Darmstadt, Germany;2;114;2;4;0
P8H;Darmstadt, Germany;1;110;0;4;4
helgee;Darmstadt, Germany;8;109;23;6;0
Waldteufel;Darmstadt;23;108;4;3;0
raQai;Darmstadt, Germany;1;102;0;9;0
nicolaierbs;Darmstadt, Germany;3;102;0;2;2
MichaelZohner;Darmstadt, Germany;2;102;0;3;0
Sanderand;Darmstadt, Germany;3;99;1;3;2
manuelhartl;Darmstadt;1;92;0;8;0
dheller1;Darmstadt, Germany;1;92;0;5;3
Seglormeister;Darmstadt;4;86;20;4;0
umwilm;Darmstadt;1;86;5;4;0
mguenther;Darmstadt, HES, Germany;7;85;4;4;0
pedrobisp;Darmstadt - Germany;4;83;0;4;0
CesarCoelho;Darmstadt;0;81;0;4;0
cschwartz;Darmstadt, Germany;4;81;28;5;0
dd23;Darmstadt;0;78;0;3;0
der-Daniel;Darmstadt;2;74;2;2;0
pradeepb6;Darmstadt;2;73;3;3;0
daniilsorokin;Darmstadt, Germany;0;70;0;4;0
pepperonas;Darmstadt, Germany;6;67;4;5;0
yaziza;Darmstadt, Germany;0;65;1;4;0
Freundschaft;Darmstadt, Germany;8;65;3;3;0
alican;Darmstadt;5;61;0;4;0
samuelvogel;Darmstadt, Germany;8;60;0;7;0
Sharian;Darmstadt;1;59;0;3;0
mike01;Darmstadt, DE;0;58;13;3;0
lambdaphonic;Darmstadt, Germany;0;56;1;3;0
dineshvg;Darmstadt, Germany;1;53;0;3;0
rvock;Darmstadt, Germany;1;52;2;3;0
ingowalther;Darmstadt, Germany;5;52;12;3;0
Tyde;Darmstadt, Germany;0;52;17;2;0
eriktews;Darmstadt, Germany;2;50;5;2;0
gonzolino;Darmstadt, Germany;5;48;0;2;0
curtgalloway;Darmstadt Germany;0;47;1;4;2
matthias-schuetz;Darmstadt, Germany;29;46;108;2;0
geneshki;Darmstadt;2;46;0;2;0
dzwicker;Darmstadt;9;46;28;3;0
mbaptist;Darmstadt, Deutschland;0;45;0;7;0
cbergmann;Darmstadt;0;45;2;3;0
Tosken1337;Darmstadt Germany;0;45;1;5;0
mmostajab;Darmstadt, Germany + Munich, Germany;1;44;1;3;0
