login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
craftbyte;Novo mesto, Slovenia;2;7049;0;7;0
Kami;Ljubljana, Slovenia;256;2228;534;25;12
mathjazz;Lendava, Slovenia;13;2034;65;15;0
Smotko;Slovenia;26;1580;59;127;4
domenkozar;Ljubljana, Slovenia;109;1115;167;23;0
ercchy;Looblanah, Slovenia;21;974;9;6;0
Swizec;Ljubljana, Slovenia;204;971;574;18;11
kostko;Slovenia;10;928;10;14;0
Legoless;Slovenia;11;859;37;56;6
matijaskala;Ljubljana, Slovenia;3;811;2;19;0
Lunatrius;Slovenia;38;785;108;21;2
ambrop72;Slovenia;11;785;94;16;0
urosjarc;Slovenia, Ljubljana;0;765;5;13;4
ctomc;Ljubljana, Slovenia;23;734;32;6;3
slashrsm;Porotorož, Slovenia;6;712;8;11;0
jure;San Francisco / Slovenia;37;711;18;11;0
alesj;Vrhnika, Slovenia;44;703;117;6;3
gandalfar;Slovenia;43;688;39;16;0
matic0basle;Slovenia;4;685;0;11;0
MaJerle;Slovenia;31;669;90;13;0
offlinehacker;Slovenia;42;658;59;8;0
jbobnar;Ljubljana, Slovenia;0;626;0;11;8
ialja;Ljubljana, Slovenia;38;624;3;9;2
archSeer;Ljubljana, Slovenia;15;623;97;13;3
DeprecatedNether;Slovenia;16;562;3;17;0
projectkk2glider;Slovenia;3;562;1;9;0
DavidKarlas;Slovenia;12;540;7;8;0
matejdro;Slovenia;21;524;98;14;0
slax0rr;Slovenia;3;523;12;6;0
dz0ny;Slovenia;86;496;1314;8;0
spule;Slovenia;0;487;0;20;4
TheCodeDestroyer;Slovenia;8;480;4;6;2
crtahlin;Slovenia;2;474;0;11;0
SmilyOrg;Ljubljana, Slovenia;12;462;25;7;0
mrbrdo;Ljubljana, Slovenia;19;429;341;9;0
astaric;Ljubljana, Slovenia;4;428;0;8;0
andrejbauer;Slovenia;114;426;203;9;0
igorpecovnik;Ljubljana, Slovenia;62;404;162;5;0
goranche;Slovenia;11;397;2;9;0
blazf;Ljubljana, Slovenia;9;388;0;5;0
mrfoto;Slovenia;47;373;28;7;0
markogresak;Ljubljana, Slovenia;4;372;1;4;2
janezd;Ljubljana, Slovenia;0;369;0;5;0
ddksr;Slovenia;4;348;15;7;0
lukacu;Ljubljana, Slovenia;7;336;27;5;0
