login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
jamirooo;Lisbon, Portugal;7;13;0;1;0
mgcm;Ponta Delgada, Portugal;16;13;345;1;0
dcruz;Lisbon, Portugal;11;13;4;2;0
GrimKriegor;Portugal;2;13;1;1;0
facanferff;Lisbon, Portugal;15;13;5;1;0
tiagocardoso;Lisbon,Portugal;3;13;3;2;0
andrefs;Braga, Portugal;31;13;50;2;0
asmarques;Lisbon, Portugal;3;13;0;7;0
heldersilva;Porto, Portugal;5;13;0;2;0
diogomarques;Lisbon, Portugal;8;12;2;1;0
dg100edo;Lisbon, Portugal;4;12;1;1;0
edunad;Portugal;5;12;4;3;0
0x4ndr3;Portugal;3;12;0;1;0
rjtavares;Portugal;2;12;22;2;0
hugocampossousa;Lisbon, Portugal;5;12;5;1;0
gingerkirsch;Lisbon, Portugal / Minsk, Belarus;3;12;0;2;0
pslobo;Portugal;6;12;52;1;0
VictoryShima;Portugal;9;12;0;1;0
canoas;Vila do Conde, Portugal;7;12;9;2;0
andreparames;Portugal;5;12;0;2;0
danielcardoso;Coimbra, Portugal;7;12;0;4;0
sfreire;Portugal;2;11;20;1;0
Hiperzone;Portugal;4;11;1;1;0
Fagulhas;Portugal;17;11;0;1;0
lcmarques;Lisbon, Portugal;4;11;3;2;0
mwmdev;Portugal;2;11;1;1;0
papucho;Braga, Portugal;12;11;3;2;0
sesposito;Lisbon, Portugal;5;11;0;2;0
ptcc;Portugal;2;11;3;1;0
davidrslopes;Lisbon, Portugal;2;11;0;1;0
mpmont;Coimbra, Portugal;68;11;232;1;0
Joaoviana;Portugal;4;11;0;1;0
aworkz;Portugal;3;10;0;3;0
bernardoantunes;Porto, Portugal;12;10;33;1;0
nunojfg;Porto, Portugal;6;10;8;1;0
brunohq;Porto, Portugal;26;10;4;2;0
Lacerda;Aveiro, Portugal;8;10;0;2;0
vxf;Moura, Portugal;3;9;1;2;0
filipediasferreira;Porto, Portugal;12;9;1;2;0
marianafpaulo;Portugal;3;9;0;3;0
qgispt;Portugal;7;9;6;1;0
andrefreitas;Porto, Portugal;6;9;0;1;0
nuno;Aveiro, Portugal;12;9;6;2;0
tnunes;Aveiro, Portugal;21;9;13;1;0
ivobenedito;Portugal;14;9;6;1;0
monxalo;Portugal;7;9;27;3;0
nunomorgadinho;Lisbon, Portugal;14;9;33;1;0
hugoduraes;Porto, Portugal;4;9;0;1;0
pmor;Portugal;8;9;0;1;0
pmcfernandes;Lisboa, Portugal;4;9;24;1;0
alex-quiterio;Portugal;13;8;2;2;0
fabriceleal;Leiria, Portugal;32;8;112;1;0
edgargoncalves;Lisbon, Portugal;6;8;3;1;0
vieira;Lisbon, Portugal;5;8;1;1;0
mguinada;Lisbon, Portugal;14;8;20;1;0
dvdme;Portugal;3;8;40;2;0
tiagofranco;Portugal;2;8;0;1;0
pedrosaraiva;Porto,Portugal;5;7;1;1;0
renatorodrigues;Porto, Portugal;12;7;1;2;0
idlxqz;Portugal;2;7;0;6;0
ARivottiC;Sintra, Portugal;4;7;19;2;0
Stabbath;Lisbon, Portugal;5;7;11;1;0
cmorgado;Vila do Conde , Portugal;9;7;17;1;0
NiJoao;Portugal;2;7;3;1;0
andcoe;Portugal;2;7;0;2;0
sofiapm;Lisbon, Portugal;3;7;0;1;0
jbrazio;Portugal;2;6;0;1;0
mluis;Portugal / Aveiro;18;6;1;2;0
goncalopp;Portugal - Lisbon;6;6;168;1;0
lythq;Setúbal, Portugal;7;6;1;2;0
talesunited;Portugal;3;6;0;1;0
shashankgaur;Porto, Portugal;2;6;0;1;0
balgan;Lisbon Portugal;20;6;34;1;0
Qeria;Vila das Aves, Portugal;2;6;0;1;0
heitorfr;Lisbon, Portugal;15;6;433;1;0
meddulla;Portugal;4;6;10;1;0
josedasilva;Portugal;10;6;12;2;0
correcto;Lisbon, Portugal;7;6;2;1;0
hugoeanogueira;Portugal;4;6;0;1;0
rfvcorreia;Porto, Portugal;4;6;0;1;0
pimenta53;Braga, Portugal;5;6;3;1;0
vascorsd;Portugal;4;6;2;2;0
olifante;Lisbon, Portugal;13;6;6;2;0
naso;Portugal;3;5;0;2;0
alexandergriekspoor;Lisbon Portugal;5;5;0;1;0
danielcorreia;Porto, Portugal;4;5;0;2;0
rfer;Coimbra, Portugal;4;5;7;1;0
alvarogois;Entroncamento, Portugal;2;5;0;1;0
josemaia;Vila do Conde, Portugal;3;5;0;1;0
